submission_id,Condition,Index,ItemId,PageId,Stimulus,SubjectId,Word,device,experiment_duration,experiment_end_time,experiment_start_time,hand,mousePositionX,mousePositionY,prolific_pid,prolific_session_id,prolific_study_id,response,responseTime,wordPositionBottom,wordPositionLeft,wordPositionRight,wordPositionTop,wordRevealPart
71,,0-105,17,3,3,,达,,,,,,1172,218,,,,认为公司不会批准,20532,223.265625,1167.40625,1185.40625,203.265625,f
71,,0-105,17,3,3,,达,,,,,,1176,218,,,,认为公司不会批准,20582,223.265625,1167.40625,1185.40625,203.265625,f
71,,0-106,17,3,3,,2,,,,,,1186,218,,,,认为公司不会批准,20633,223.265625,1185.40625,1195.421875,203.265625,f
71,,0-106,17,3,3,,2,,,,,,1186,218,,,,认为公司不会批准,20685,223.265625,1185.40625,1195.421875,203.265625,f
71,,0-106,17,3,3,,2,,,,,,1194,219,,,,认为公司不会批准,20733,223.265625,1185.40625,1195.421875,203.265625,f
71,,0-107,17,3,3,,5,,,,,,1197,220,,,,认为公司不会批准,20779,223.265625,1195.421875,1205.4375,203.265625,f
71,,0-107,17,3,3,,5,,,,,,1204,220,,,,认为公司不会批准,20833,223.265625,1195.421875,1205.4375,203.265625,f
71,,0-109,17,3,3,,。,,,,,,1225,215,,,,认为公司不会批准,20883,223.265625,1223.4375,1241.4375,203.265625,f
71,,0-109,17,3,3,,。,,,,,,1225,215,,,,认为公司不会批准,20935,223.265625,1223.4375,1241.4375,203.265625,f
71,,0-109,17,3,3,,。,,,,,,1227,215,,,,认为公司不会批准,20983,223.265625,1223.4375,1241.4375,203.265625,f
71,,0-109,17,3,3,,。,,,,,,1227,215,,,,认为公司不会批准,21029,223.265625,1223.4375,1241.4375,203.265625,f
71,,0-109,17,3,3,,。,,,,,,1237,215,,,,认为公司不会批准,21083,223.265625,1223.4375,1241.4375,203.265625,f
71,,0-110,17,3,3,,有,,,,,,1245,217,,,,认为公司不会批准,21132,223.265625,1241.4375,1259.4375,203.265625,f
71,,0-110,17,3,3,,有,,,,,,1245,217,,,,认为公司不会批准,21186,223.265625,1241.4375,1259.4375,203.265625,f
71,,0-110,17,3,3,,有,,,,,,1255,218,,,,认为公司不会批准,21232,223.265625,1241.4375,1259.4375,203.265625,f
71,,0-111,17,3,3,,趣,,,,,,1260,220,,,,认为公司不会批准,21279,223.265625,1259.4375,1277.4375,203.265625,f
71,,0-111,17,3,3,,趣,,,,,,1268,220,,,,认为公司不会批准,21333,223.265625,1259.4375,1277.4375,203.265625,f
71,,0-111,17,3,3,,趣,,,,,,1269,220,,,,认为公司不会批准,21382,223.265625,1259.4375,1277.4375,203.265625,f
71,,0-111,17,3,3,,趣,,,,,,1271,220,,,,认为公司不会批准,21432,223.265625,1259.4375,1277.4375,203.265625,f
71,,0-111,17,3,3,,趣,,,,,,1272,220,,,,认为公司不会批准,21484,223.265625,1259.4375,1277.4375,203.265625,f
71,,0-111,17,3,3,,趣,,,,,,1273,220,,,,认为公司不会批准,21531,223.265625,1259.4375,1277.4375,203.265625,f
71,,0-111,17,3,3,,趣,,,,,,1273,220,,,,认为公司不会批准,21591,223.265625,1259.4375,1277.4375,203.265625,f
71,,0-111,17,3,3,,趣,,,,,,1276,222,,,,认为公司不会批准,21629,223.265625,1259.4375,1277.4375,203.265625,f
71,,-1,17,3,3,,,,,,,,1278,228,,,,认为公司不会批准,21682,,,,,f
71,,-1,17,3,3,,,,,,,,1280,246,,,,认为公司不会批准,21732,,,,,f
71,,-1,17,3,3,,,,,,,,1241,280,,,,认为公司不会批准,21782,,,,,f
71,,-1,17,3,3,,,,,,,,1082,284,,,,认为公司不会批准,21830,,,,,f
71,,0-112,17,3,3,,的,,,,,,639,245,,,,认为公司不会批准,21884,263.265625,625.375,643.375,243.265625,f
71,,-1,17,3,3,,,,,,,,606,248,,,,认为公司不会批准,21932,,,,,f
71,,-1,17,3,3,,,,,,,,605,249,,,,认为公司不会批准,21982,,,,,f
71,,-1,17,3,3,,,,,,,,597,251,,,,认为公司不会批准,22032,,,,,f
71,,-1,17,3,3,,,,,,,,594,255,,,,认为公司不会批准,22081,,,,,f
71,,-1,17,3,3,,,,,,,,594,256,,,,认为公司不会批准,22132,,,,,f
71,,0-112,17,3,3,,的,,,,,,628,270,,,,认为公司不会批准,22184,263.265625,625.375,643.375,243.265625,f
71,,0-112,17,3,3,,的,,,,,,634,271,,,,认为公司不会批准,22232,263.265625,625.375,643.375,243.265625,f
71,,0-112,17,3,3,,的,,,,,,634,271,,,,认为公司不会批准,22281,263.265625,625.375,643.375,243.265625,f
71,,0-112,17,3,3,,的,,,,,,637,265,,,,认为公司不会批准,22334,263.265625,625.375,643.375,243.265625,f
71,,0-112,17,3,3,,的,,,,,,638,262,,,,认为公司不会批准,22383,263.265625,625.375,643.375,243.265625,f
71,,0-112,17,3,3,,的,,,,,,638,255,,,,认为公司不会批准,22431,263.265625,625.375,643.375,243.265625,f
71,,0-112,17,3,3,,的,,,,,,639,254,,,,认为公司不会批准,22479,263.265625,625.375,643.375,243.265625,f
71,,0-113,17,3,3,,是,,,,,,655,250,,,,认为公司不会批准,22531,263.265625,643.375,661.375,243.265625,f
71,,0-114,17,3,3,,，,,,,,,667,250,,,,认为公司不会批准,22583,263.265625,661.375,679.375,243.265625,f
71,,0-114,17,3,3,,，,,,,,,667,250,,,,认为公司不会批准,22629,263.265625,661.375,679.375,243.265625,f
71,,0-123,17,3,3,,试,,,,,,828,243,,,,认为公司不会批准,22682,263.265625,823.375,841.375,243.265625,f
